openssl_101f,boringssl_0.9,sim_value
do_name_ex,asn1_template_ex_i2d,0.953247650061771
ec_GF2m_montgomery_point_multiply,BN_is_prime_fasttest_ex,0.9531718312393884
v2i_AUTHORITY_KEYID,v2i_AUTHORITY_KEYID,0.9530994855585582
ec_GFp_simple_is_on_curve,ECDSA_do_sign_ex,0.9530384682116628
a2d_ASN1_OBJECT,compute_wNAF,0.9529500351107802
ec_GFp_simple_point_get_affine_coordinates,ECDSA_do_verify,0.9528837097552019
ecdsa_do_sign,ecdsa_sign_setup,0.9528384794562444
PEM_do_header,asn1_template_ex_i2d,0.9526640707016243
DES_enc_write,compute_wNAF,0.9525830809084755
ec_GFp_simple_point_get_affine_coordinates,ecdsa_sign_setup,0.9524888818383535
conn_ctrl,conn_ctrl,0.952460357401177
ssl3_get_message,ssl3_get_message,0.9524431084199854
RSA_eay_public_encrypt,RSA_verify_raw,0.9524252988244299
BN_mod_sqrt,BN_div_recp,0.9521174466375976
CRYPTO_ctr128_encrypt_ctr32,CRYPTO_ofb128_encrypt,0.9520833303332831
ec_GFp_simple_add,BN_mod_sqrt,0.9520590157662434
asn1_d2i_read_bio,aead_ssl3_open,0.9519609339539621
CRYPTO_gcm128_encrypt_ctr32,CRYPTO_gcm128_decrypt,0.9519425701432381
BN_mod_mul_montgomery,mod_exp_recp,0.9518927466699681
NAME_CONSTRAINTS_check,PEM_do_header,0.9518712893639241
compute_key,DH_check,0.9518278594449698
ec_GF2m_simple_is_on_curve,ECDSA_do_verify,0.9516703138767473
ssl_verify_cert_chain,ssl_verify_cert_chain,0.9516359549425615
ssl3_get_cert_verify,X509_chain_check_suiteb,0.951618964497555
fmtint,do_name_ex,0.951579419300012
CRYPTO_ctr128_encrypt_ctr32,CRYPTO_ctr128_encrypt,0.9515360718311521
ec_GFp_simple_point_get_affine_coordinates,ec_GFp_simple_cmp,0.951303805869919
ec_GF2m_simple_set_compressed_coordinates,ECDSA_do_sign_ex,0.9512291011001558
PKCS12_key_gen_uni,ASN1_generate_v3,0.9512168853907046
ec_GF2m_simple_set_compressed_coordinates,ec_GFp_simple_cmp,0.9512105775747652
RAND_query_egd_bytes,asn1_template_ex_i2d,0.9512084522942206
RSA_eay_public_encrypt,rsa_default_encrypt,0.9511852192615089
do_print_ex,PEM_do_header,0.9510391890284889
ssl3_get_record,ssl3_read_app_data,0.9510106266850323
asn1_template_ex_i2d,do_name_ex,0.9509476471995084
ec_GFp_simple_dbl,ec_GFp_simple_cmp,0.9509296524995465
ec_GFp_simple_dbl,BN_mod_sqrt,0.9506009786369262
BN_mod_exp2_mont,compute_wNAF,0.9504021946642982
CRYPTO_gcm128_encrypt_ctr32,CRYPTO_gcm128_encrypt,0.9503971699141627
