openssl_101f,libressl_3,sim_value
ec_GF2m_simple_point2oct,ec_GF2m_simple_point2oct,0.9933094888902915
PKCS7_decrypt,PKCS7_decrypt,0.9932761803063699
X509_STORE_get1_crls,X509_STORE_get1_crls,0.9932010603186621
PKCS7_dataFinal,PKCS7_dataFinal,0.9931645629234083
dsa_do_verify,dsa_do_verify,0.9931637354059188
x509v3_cache_extensions,x509v3_cache_extensions,0.9930943952983031
PKCS12_pack_p7encdata,PKCS12_pack_p7encdata,0.9929576515821847
SMIME_write_ASN1,SMIME_write_ASN1,0.9929258630447085
ssl_verify_cert_chain,ssl_verify_cert_chain,0.9928985763354274
BN_kronecker,BN_kronecker,0.9928545941070929
TXT_DB_create_index,TXT_DB_create_index,0.9928522019829376
OCSP_request_verify,OCSP_request_verify,0.9928263924036864
ec_GFp_simple_point2oct,ec_GFp_simple_point2oct,0.992769486650783
dgram_ctrl,dgram_ctrl,0.992701456447428
BN_MONT_CTX_set,BN_MONT_CTX_set,0.9925408589889776
cms_sd_set_version,cms_sd_set_version,0.9925158553736455
dtls1_process_out_of_seq_message,dtls1_process_out_of_seq_message,0.9923231922821654
BN_nist_mod_224,BN_nist_mod_224,0.9923086955805347
cms_main,cms_main,0.9920026527260277
load_serial,load_serial,0.9918564627234047
asn1_item_ex_combine_new,asn1_item_ex_combine_new,0.9918273236779953
ASN1_primitive_free,ASN1_primitive_free,0.991798155012179
d2i_PrivateKey,d2i_PrivateKey,0.9917643305815671
ec_GFp_simple_add,ec_GFp_simple_is_on_curve,0.9917640250394398
EC_KEY_copy,EC_KEY_copy,0.9914998895671201
ec_GFp_simple_point2oct,ec_GF2m_simple_point2oct,0.9914360509275053
load_pubkey,load_pubkey,0.991361513511923
auto_info,auto_info,0.9913481867728963
do_EC_KEY_print,do_EC_KEY_print,0.9913121987626224
OCSP_basic_verify,OCSP_basic_verify,0.991305742582238
cms_RecipientInfo_kekri_decrypt,cms_RecipientInfo_kekri_decrypt,0.9912361749219137
print_stuff,print_stuff,0.9912154255228947
asn1_item_combine_free,asn1_item_combine_free,0.9911828847494042
X509_CERT_AUX_print,X509_CERT_AUX_print,0.9911042944785277
BN_mod_exp_mont_consttime,BN_mod_exp_mont_consttime,0.9910620062860767
ec_GFp_simple_is_on_curve,ec_GFp_simple_add,0.9910147928885682
def_load_bio,def_load_bio,0.9906655402478957
newpass_p12,newpass_p12,0.990645876187551
ssl_cipher_process_rulestr,ssl_cipher_process_rulestr,0.9905608182314674
ts_main,ts_main,0.9905558453032557
dtls1_retrieve_buffered_fragment,dtls1_retrieve_buffered_fragment,0.9904413328396477
PKCS7_SIGNER_INFO_sign,PKCS7_SIGNER_INFO_sign,0.990407298058689
PEM_do_header,PEM_do_header,0.9903962150888147
ec_GFp_mont_group_set_curve,ec_GFp_mont_group_set_curve,0.9902877423764271
v3_generic_extension,v3_generic_extension,0.9901239397735191
ec_asn1_group2curve,ec_asn1_group2curve,0.9900476435358199
dtls1_get_message_fragment,dtls1_get_message_fragment,0.9900355940303514
generate_cookie_callback,generate_cookie_callback,0.9899270812107007
PKCS1_MGF1,PKCS1_MGF1,0.9897011894400929
CMS_add1_signer,CMS_add1_signer,0.9896749554417206
tree_init,tree_init,0.9896149116863171
BN_mod_exp_mont,BN_mod_exp_mont_internal,0.9895837125449469
CMS_add0_recipient_password,CMS_add0_recipient_password,0.9894494826521798
asn1_parse2,asn1_parse2,0.9894391273031269
asn1_template_noexp_d2i,asn1_template_noexp_d2i,0.9891329308167756
BN_bin2bn,BN_bin2bn,0.9891188129788885
WHIRLPOOL_BitUpdate,WHIRLPOOL_BitUpdate,0.9890453083512669
X509_STORE_CTX_get1_issuer,X509_STORE_CTX_get1_issuer,0.9889940108187059
BN_mul,BN_mul,0.988709278579061
v2i_subject_alt,v2i_subject_alt,0.9885929419950599
pkey_rsa_ctrl,pkey_rsa_ctrl,0.9885362860336784
CRYPTO_gcm128_setiv,CRYPTO_gcm128_setiv,0.9884493899891469
asn1_set_seq_out,asn1_set_seq_out,0.988295436244886
X509_REQ_to_X509,X509_REQ_to_X509,0.9882891655550393
ec_GF2m_simple_point2oct,ec_GFp_simple_point2oct,0.9882746362988168
verify_cookie_callback,verify_cookie_callback,0.9880179604005873
WHIRLPOOL_Final,WHIRLPOOL_Final,0.9879032258064516
pkcs7_encode_rinfo,pkcs7_encode_rinfo,0.9878030313415691
PEM_ASN1_write_bio,PEM_ASN1_write_bio,0.9877467566940095
ecdh_compute_key,ecdh_compute_key,0.9877275266529063
RSA_eay_private_encrypt,RSA_eay_private_encrypt,0.9877154022440426
