file_name,openssl_101f,boringssl_0,sim_value
s3_cbc.c_padding.c,tls1_cbc_remove_padding,RSA_padding_check_PKCS1_OAEP_mgf1,0.9582042512707385
ecp_smpl.c_simple.c,ec_GFp_simple_point_get_affine_coordinates,ec_GFp_simple_dbl,0.9578547302868842
obj_dat.c_wnaf.c,OBJ_obj2txt,compute_wNAF,0.9571901242707057
p12_key.c_a_object.c,PKCS12_key_gen_uni,a2d_ASN1_OBJECT,0.9571736637953538
rand_egd.c_wnaf.c,RAND_query_egd_bytes,compute_wNAF,0.9570700390204969
rand_egd.c_a_strex.c,RAND_query_egd_bytes,do_print_ex,0.9569972212129132
ecp_smpl.c_ecdsa.c,ec_GFp_simple_dbl,ecdsa_sign_setup,0.956985782234205
ofb64ede.c_cfb64ede.c,DES_ede3_ofb64_encrypt,DES_ede3_cfb64_encrypt,0.9569589044114564
ecp_smpl.c_ecdsa.c,ec_GFp_simple_dbl,ECDSA_do_verify,0.9566773935579077
b_print.c_wnaf.c,fmtint,compute_wNAF,0.9566537904888344
cbc_enc.c_cast.c,DES_cbc_encrypt,CAST_cfb64_encrypt,0.9565301581940976
bn_sqrt.c_ecdsa.c,BN_mod_sqrt,ECDSA_do_verify,0.9565246069446378
dsa_ameth.c_print.c,do_dsa_print,do_rsa_print,0.9565206340378387
ecp_oct.c_ecdsa.c,ec_GFp_simple_set_compressed_coordinates,ECDSA_do_sign_ex,0.9562329892984408
obj_dat.c_asn1_gen.c,OBJ_obj2txt,ASN1_generate_v3,0.9561950477525387
c_ofb64.c_cast.c,CAST_ofb64_encrypt,CAST_cfb64_encrypt,0.9561521607466366
